year,adm1,adm3,adm1-adm3,asdf_id,shapeID,qfirms,sales,labour,sercotec,bdd,add,rank_qfirms,rank_sales,rank_labour,rank_sercotec,rank_bdd,rank_add,COORD_X,COORD_Y
2021,Metropolitana,Las Condes,Metr-Las ,155,CHL-ADM3-31136180B67635694,49539,  29.275072999999999,225194,  21.129235000000001,  21.129235000000001,   0.000000000000000,2,1,3,16,15,76, -70.490768000000003, -33.423434000000000
2021,Metropolitana,Lo Barnechea,Metr-Lo B,156,CHL-ADM3-31136180B92183996,9894,  27.727063999999999,33282,  19.127434000000001,  19.127434000000001,   0.000000000000000,28,86,33,128,115,145, -70.383634999999998, -33.297961000000001
2021,Metropolitana,Lo Espejo,Metr-Lo E,157,CHL-ADM3-31136180B23989760,2925,  25.796931000000001,8764,  18.381028000000001,  18.381028000000001,   0.000000000000000,88,166,102,215,201,219, -70.687132000000005, -33.516900999999997
2021,Metropolitana,Lo Prado,Metr-Lo P,158,CHL-ADM3-31136180B48705077,2953,  25.733763000000000,7974,  18.896799999999999,  18.896799999999999,   0.000000000000000,87,174,110,147,134,158, -70.725105999999997, -33.444606000000000
2021,Metropolitana,Macul,Metr-Macu,159,CHL-ADM3-31136180B52596129,5198,  26.657473000000000,20102,  19.543493999999999,  19.543493999999999,   0.000000000000000,54,125,56,98,79,119, -70.599970999999996, -33.490845999999998
2021,"Lagos, Los",Ancud,Lago-Ancu,160,CHL-ADM3-31136180B82285577,3033,  25.813089000000002,9887,  19.776471000000001,  19.776471000000001,   0.000000000000000,85,165,93,75,56,102, -73.813534000000004, -41.975524999999998
2021,"Lagos, Los",Quellon,Lago-Quel,161,CHL-ADM3-31136180B44824781,1531,  25.284500999999999,5885,  18.351429000000000,  18.351429000000000,   0.000000000000000,135,205,125,219,207,222, -73.975752999999997, -43.241289999999999
2021,"Lagos, Los",Queilen,Lago-Quei,162,CHL-ADM3-31136180B70910936,296,  27.769710000000000,514,  18.549306999999999,  18.549306999999999,   0.000000000000000,299,50,310,192,177,197, -73.551518999999999, -42.885047999999998
2021,"Lagos, Los",Chonchi,Lago-Chon,163,CHL-ADM3-31136180B23402159,865,  24.646623999999999,1764,  18.736328000000000,  18.736328000000000,   0.000000000000000,207,278,248,168,157,178, -73.919336999999999, -42.696880000000000
2021,"Lagos, Los",Puerto Montt,Lago-Puer,164,CHL-ADM3-31136180B38068755,17478,  27.852169000000000,79159,  21.256398999999998,  21.098566999999999,  19.332295999999999,10,13,7,15,17,25, -72.879064000000000, -41.514215000000000
2021,"Lagos, Los",Rio Negro,Lago-Rio ,165,CHL-ADM3-31136180B10817751,816,  24.703503999999999,2322,  17.818467999999999,  17.818467999999999,   0.000000000000000,216,267,218,273,265,274, -73.428679000000002, -40.770274000000001
2021,"Lagos, Los",Castro,Lago-Cast,166,CHL-ADM3-31136180B19438436,3394,  26.157391000000001,17226,  19.760988000000001,  19.760988000000001,   0.000000000000000,78,151,62,77,57,103, -73.761100999999996, -42.499510999999998
2021,"Lagos, Los",Dalcahue,Lago-Dalc,167,CHL-ADM3-31136180B47583046,935,  24.769259000000002,2422,  19.886800999999998,  19.032647999999998,  19.332295999999999,195,258,212,65,122,26, -73.816179000000005, -42.306534999999997
2021,"Lagos, Los",Quemchi,Lago-Quem,168,CHL-ADM3-31136180B8371293,391,  23.692101999999998,1686,  17.414370999999999,  17.414370999999999,   0.000000000000000,284,337,254,295,290,296, -73.324099000000004, -42.226263000000003
2021,"Araucania, La",Saavedra,Arau-Saav,169,CHL-ADM3-31136180B66672195,452,  27.771193000000000,1258,  19.881050999999999,  19.881050999999999,   0.000000000000000,272,34,274,67,48,96, -73.281615000000002, -38.838838000000003
2021,Metropolitana,Maipu,Metr-Maip,170,CHL-ADM3-31136180B64499952,21566,  27.846598000000000,63758,  20.685613000000000,  20.685613000000000,   0.000000000000000,5,14,10,28,24,80, -70.824078999999998, -33.504711000000000
2021,Metropolitana,Nunoa,Metr-Nuno,171,CHL-ADM3-31136180B73756786,15145,  27.789518000000001,77303,  20.622152000000000,  20.622152000000000,   0.000000000000000,13,15,9,30,26,81, -70.599261999999996, -33.457484000000001
2021,Metropolitana,PAC,Metr-PAC,172,CHL-ADM3-31136180B29238052,4083,  26.440065000000001,12940,  18.457393000000000,  18.457393000000000,   0.000000000000000,69,135,79,206,192,211, -70.674907000000005, -33.488729999999997
2021,Biobio,Tirua,Biob-Tiru,173,CHL-ADM3-31136180B67936121,367,  27.770347000000001,481,  17.349197000000000,  17.349197000000000,   0.000000000000000,287,42,312,302,298,303, -73.389371999999995, -38.332061000000003
2021,Biobio,Hualpen,Biob-Hual,174,CHL-ADM3-31136180B90375279,3087,  25.831616000000000,8150,  19.680976999999999,  19.680976999999999,   0.000000000000000,84,164,108,82,62,108, -73.159373000000002, -36.783352000000001
2021,Biobio,Talcahuano,Biob-Talc,175,CHL-ADM3-31136180B46089075,6179,  26.730799999999999,28570,  20.321178000000000,  20.179407000000001,  18.297590000000000,42,119,35,45,40,43, -73.092736000000002, -36.686439000000000
2021,Biobio,Penco,Biob-Penc,176,CHL-ADM3-31136180B11380878,1608,  25.267455000000002,4911,  19.150859000000001,  19.150859000000001,   0.000000000000000,128,209,136,124,110,141, -72.948300000000003, -36.747405999999998
2021,Maule,Chanco,Maul-Chan,177,CHL-ADM3-31136180B7073618,505,  27.772667999999999,1552,  18.713151000000000,  18.713151000000000,   0.000000000000000,261,25,263,169,158,179, -72.470545000000001, -35.700600999999999
2021,Maule,Pelluhue,Maul-Pell,178,CHL-ADM3-31136180B39141646,771,  27.775518999999999,760,  19.809058000000000,  19.525860000000002,  18.409191000000000,224,17,296,72,80,40, -72.593913999999998, -35.913321000000003
2021,Maule,Constitucion,Maul-Cons,179,CHL-ADM3-31136180B17222159,2780,  25.993071000000000,10943,  19.550371999999999,  19.550371999999999,   0.000000000000000,94,156,87,97,76,118, -72.289574999999999, -35.392615999999997
2021,Maule,Licanten,Maul-Lica,180,CHL-ADM3-31136180B20396997,560,  27.772379000000001,1663,  19.042206000000000,  18.787210000000002,  17.550909000000001,250,27,255,134,154,54, -72.017122999999998, -34.967810000000000
2021,Maule,Vichuquen,Maul-Vich,181,CHL-ADM3-31136180B83246231,393,  24.229606000000000,586,  17.398599000000001,  17.398599000000001,   0.000000000000000,283,316,303,298,294,299, -72.006141999999997, -34.852778999999998
2021,OHiggins,Paredones,OHig-Pare,182,CHL-ADM3-31136180B45491927,397,  27.770703000000001,1827,  18.636828999999999,  18.636828999999999,   0.000000000000000,281,39,243,184,169,190, -71.897379999999998, -34.658340000000003
2021,Metropolitana,Pudahuel,Metr-Puda,183,CHL-ADM3-31136180B86352345,8844,  27.122900000000001,28403,  19.738396000000002,  19.738396000000002,   0.000000000000000,30,105,37,79,59,105, -70.852474000000001, -33.425282000000003
2021,Metropolitana,Quilicura,Metr-Quil,184,CHL-ADM3-31136180B1722173,8797,  27.259564999999998,27837,  19.791398999999998,  19.791398999999998,   0.000000000000000,31,100,38,73,54,100, -70.725172000000001, -33.355423000000002
2021,OHiggins,Pichilemu,OHig-Pich,185,CHL-ADM3-31136180B54677456,2004,  25.216065000000000,6064,  20.662255999999999,  20.631527999999999,  17.164377999999999,114,211,122,29,25,67, -71.895809999999997, -34.382075000000000
2021,OHiggins,Litueche,OHig-Litu,186,CHL-ADM3-31136180B66935975,553,  24.170202000000000,1626,  18.395890999999999,  18.395890999999999,   0.000000000000000,253,319,258,212,197,216, -71.718348000000006, -34.101345000000002
2021,OHiggins,Navidad,OHig-Navi,187,CHL-ADM3-31136180B17312444,476,  27.771182000000000,1792,  18.277619000000001,  18.277619000000001,   0.000000000000000,267,35,247,231,220,234, -71.796682000000004, -33.990664000000002
2021,Metropolitana,Quinta Normal,Metr-Quin,188,CHL-ADM3-31136180B5589299,6593,  27.028617000000001,22794,  19.629570999999999,  19.457065000000000,  17.787233000000001,39,109,46,87,86,50, -70.695965999999999, -33.428091000000002
2021,Metropolitana,Recoleta,Metr-Reco,189,CHL-ADM3-31136180B11813815,10321,  27.558136999999999,37584,  19.968167999999999,  19.968167999999999,   0.000000000000000,26,89,28,61,45,93, -70.639349999999993, -33.407803000000001
2021,Valparaiso,Santo Domingo,Valp-Sant,190,CHL-ADM3-31136180B93622656,1928,  26.292936999999998,4890,  17.289148000000001,  17.289148000000001,   0.000000000000000,115,140,137,307,304,308, -71.684179999999998, -33.810057000000000
2021,Valparaiso,San Antonio,Valp-San ,191,CHL-ADM3-31136180B27610562,5211,  26.557213000000001,18694,  19.749545999999999,  19.749545999999999,   0.000000000000000,53,129,58,78,58,104, -71.473524999999995, -33.662998000000002
2021,Valparaiso,El Tabo,Valp-El T,192,CHL-ADM3-31136180B6496910,902,  24.537642000000002,2871,  18.116161999999999,  18.116161999999999,   0.000000000000000,199,294,196,242,232,245, -71.571629000000001, -33.479773000000002
2021,Valparaiso,El Quisco,Valp-El Q,193,CHL-ADM3-31136180B16712764,1102,  24.762032000000001,3830,  18.649604000000000,  18.649604000000000,   0.000000000000000,177,260,161,181,167,188, -71.662986000000004, -33.415044999999999
2021,Atacama,Alto del Carmen,Atac-Alto,194,CHL-ADM3-31136180B32348512,348,  27.769320000000000,1119,  17.510005000000000,  17.510005000000000,   0.000000000000000,293,54,279,292,285,293, -70.149221999999995, -28.995785999999999
2021,Nuble,San Carlos,Nubl-San ,195,CHL-ADM3-31136180B90232557,3802,  25.953081000000001,11894,  19.566897000000001,  19.514271999999998,  16.596132999999998,72,159,82,93,81,71, -71.995939000000007, -36.405608000000001
2021,Biobio,Tome,Biob-Tome,196,CHL-ADM3-31136180B87502533,2274,  25.414296000000000,6530,  19.554983000000000,  19.543832999999999,  15.053125000000000,107,198,117,95,78,73, -72.874649000000005, -36.598985999999996
2021,Valparaiso,Algarrobo,Valp-Alga,197,CHL-ADM3-31136180B1832494,1296,  25.215083000000000,3781,  18.814450999999998,  18.814450999999998,   0.000000000000000,150,212,163,160,148,171, -71.603119000000007, -33.324962999999997
2021,Valparaiso,Casablanca,Valp-Casa,198,CHL-ADM3-31136180B673491,2370,  26.080507000000001,7959,  18.702707000000000,  18.391660000000002,  17.383399000000001,105,152,111,173,198,62, -71.475423000000006, -33.305971999999997
2021,Valparaiso,Valparaiso,Valp-Valp,199,CHL-ADM3-31136180B61981707,13117,  27.437856000000000,58651,  21.328095000000001,  21.287801000000002,  18.096450999999998,16,96,13,13,12,46, -71.570767000000004, -33.131182000000003
2021,Metropolitana,Renca,Metr-Renc,200,CHL-ADM3-31136180B82430755,5312,  26.742021000000001,16375,  18.812873000000000,  18.812873000000000,   0.000000000000000,51,118,64,161,149,172, -70.723059000000006, -33.402253000000002
2021,Valparaiso,Vina del Mar,Valp-Vina,201,CHL-ADM3-31136180B41126831,21938,  28.067629000000000,91526,  21.477097000000001,  21.459842999999999,  17.408754999999999,4,9,5,7,4,59, -71.514420999999999, -33.033285999999997
2021,Valparaiso,Concon,Valp-Conc,202,CHL-ADM3-31136180B32112960,2703,  25.985737000000000,12535,  19.554538999999998,  19.428000999999998,  17.424726000000000,95,158,80,96,88,58, -71.464571000000007, -32.950080000000000
2021,Valparaiso,Quintero,Valp-Quin,203,CHL-ADM3-31136180B55226100,1563,  25.223730000000000,4190,  18.593703999999999,  18.593703999999999,   0.000000000000000,129,210,154,188,172,193, -71.471003999999994, -32.844081000000003
2021,Valparaiso,Puchuncavi,Valp-Puch,204,CHL-ADM3-31136180B86784180,1325,  25.047554999999999,3654,  18.598960000000002,  18.598960000000002,   0.000000000000000,145,226,166,186,171,192, -71.389617999999999, -32.742586000000003
2021,Metropolitana,El Monte,Metr-El M,205,CHL-ADM3-31136180B60503276,1501,  25.272618999999999,5725,  17.880303000000001,  17.880303000000001,   0.000000000000000,137,208,127,267,260,269, -71.021545000000003, -33.666285000000002
2021,Valparaiso,Zapallar,Valp-Zapa,206,CHL-ADM3-31136180B63743634,1074,  25.611747999999999,3673,  17.117743999999998,  17.117743999999998,   0.000000000000000,179,179,165,312,310,313, -71.355984000000007, -32.585920999999999
2021,Valparaiso,Papudo,Valp-Papu,207,CHL-ADM3-31136180B36251745,499,  24.275382000000000,1023,  17.600956000000000,  17.600956000000000,   0.000000000000000,262,313,286,288,281,289, -71.377072999999996, -32.480544999999999
2021,Valparaiso,La Ligua,Valp-La L,208,CHL-ADM3-31136180B86371121,2520,  25.553699000000002,6440,  18.892740000000000,  18.892740000000000,   0.000000000000000,100,184,119,148,135,159, -71.274786000000006, -32.356274999999997
2021,Coquimbo,Los Vilos,Coqu-Los ,209,CHL-ADM3-31136180B68247998,1434,  25.100137000000000,3401,  18.670328000000001,  18.670328000000001,   0.000000000000000,140,220,177,177,163,184, -71.334992000000000, -31.955767999999999
2021,Coquimbo,Canela,Coqu-Cane,210,CHL-ADM3-31136180B39894743,445,  27.771850000000001,840,  18.976357000000000,  18.976357000000000,   0.000000000000000,274,31,293,143,131,155, -71.393754999999999, -31.443391999999999
2021,Coquimbo,Ovalle,Coqu-Oval,211,CHL-ADM3-31136180B68574209,6168,  26.508057000000001,28649,  20.002984000000001,  20.002984000000001,   0.000000000000000,43,131,34,59,44,92, -71.392382999999995, -30.720839999999999
2021,Coquimbo,Coquimbo,Coqu-Coqu,212,CHL-ADM3-31136180B63037195,11659,  27.218336000000001,39316,  20.807638000000001,  20.807638000000001,   0.000000000000000,23,102,26,24,20,79, -71.365926000000002, -30.211530000000000
2021,Coquimbo,La Serena,Coqu-La S,213,CHL-ADM3-31136180B45101694,13250,  27.448568000000002,56122,  21.336773000000001,  21.234999999999999,  19.001315000000002,14,95,14,12,14,34, -71.046451000000005, -29.795601000000001
2021,Atacama,Freirina,Atac-Frei,214,CHL-ADM3-31136180B9420429,341,  27.770282999999999,1027,  17.301002000000000,  17.301002000000000,   0.000000000000000,295,43,285,305,302,306, -71.160663999999997, -28.784483000000002
2021,Atacama,Huasco,Atac-Huas,215,CHL-ADM3-31136180B69575705,533,  24.194220999999999,1269,  20.127578000000000,  17.403153000000000,  20.059744999999999,256,318,273,53,291,8, -71.075700999999995, -28.280843999999998
2021,Atacama,Copiapo,Atac-Copi,216,CHL-ADM3-31136180B9975353,8170,  27.029416999999999,33990,  20.570661999999999,  20.570661999999999,   0.000000000000000,33,108,31,33,28,82, -69.752521000000002, -27.413056000000001
2021,Atacama,Caldera,Atac-Cald,217,CHL-ADM3-31136180B52032318,1177,  24.904160999999998,4391,  19.023129000000001,  19.023129000000001,   0.000000000000000,165,243,148,136,124,150, -70.766501000000005, -27.132826000000001
2021,Tarapaca,Huara,Tara-Huar,218,CHL-ADM3-31136180B4065501,123,  27.767158999999999,185,  16.944717000000001,  16.944717000000001,   0.000000000000000,326,75,331,317,315,318, -69.703485000000001, -19.519604000000001
2021,Arica y Parinacota,Camarones,Aric-Cama,219,CHL-ADM3-31136180B97301220,83,  27.766890000000000,94,  19.096889999999998,  16.382404999999999,  19.028355999999999,333,78,336,129,333,33, -69.656750000000002, -18.965525000000000
